Date,SPY,TLT
2022-08-29,383.68896484375,98.97319793701172
2022-08-30,379.4768981933594,99.2191390991211
2022-08-31,376.5894775390625,98.27049255371094
2022-09-01,377.7711181640625,96.47132873535156
2022-09-02,373.7877197265625,97.01708221435547
2022-09-06,372.3774108886719,94.61408233642578
2022-09-07,379.0672302246094,96.11044311523438
2022-09-08,381.54486083984375,95.12459564208984
2022-09-09,387.4722900390625,95.33586120605469
2022-09-12,391.63665771484375,94.5524673461914
2022-09-13,374.6072998046875,94.77250671386719
2022-09-14,376.0367126464844,95.09819793701172
2022-09-15,371.7674865722656,95.03660583496094
2022-09-16,368.9313049316406,94.24439239501953
2022-09-19,371.7923889160156,94.4644546508789
2022-09-20,367.5247497558594,93.52261352539062
2022-09-21,361.11370849609375,95.08939361572266
2022-09-22,358.08050537109375,92.66001892089844
2022-09-23,352.0808410644531,93.03853607177734
2022-09-26,348.5978088378906,91.26045989990234
2022-09-27,347.70794677734375,88.85748291015625
2022-09-28,354.549560546875,91.83259582519531
2022-09-29,347.14337158203125,91.35730743408203
2022-09-30,341.775390625,90.17778778076172
2022-10-03,350.7985534667969,91.6106948852539
2022-10-04,361.6686706542969,91.35481262207031
2022-10-05,360.8266296386719,90.48133087158203
2022-10-06,357.1043701171875,89.97842407226562
2022-10-07,347.14337158203125,89.10491180419922
2022-10-10,344.4928283691406,87.71966552734375
2022-10-11,342.3111267089844,88.10791015625
2022-10-12,341.1820983886719,88.54023742675781
2022-10-13,350.18621826171875,87.69322204589844
2022-10-14,342.2059326171875,86.96971893310547
2022-10-17,350.9996032714844,86.54621124267578
2022-10-18,355.1236877441406,86.74913787841797
2022-10-19,352.60711669921875,85.16976928710938
2022-10-20,349.6503601074219,83.7139663696289
2022-10-21,358.1473693847656,82.20523071289062
2022-10-24,362.5299072265625,81.52584075927734
2022-10-25,368.31890869140625,83.8992691040039
2022-10-26,365.5440368652344,85.1080322265625
2022-10-27,363.592041015625,85.99916076660156
2022-10-28,372.24212646484375,85.40803527832031
2022-10-31,369.5533142089844,84.79924011230469
2022-11-01,367.9361267089844,85.59172821044922
2022-11-02,358.7024230957031,85.22026062011719
2022-11-03,355.00885009765625,84.76030731201172
2022-11-04,360.1185607910156,83.33629608154297
2022-11-07,363.56329345703125,82.50486755371094
2022-11-08,365.5249328613281,83.40705871582031
2022-11-09,357.9942932128906,83.6812515258789
2022-11-10,377.6675720214844,86.90076446533203
2022-11-11,381.32281494140625,86.58235168457031
2022-11-14,378.0790710449219,86.37007141113281
2022-11-15,381.3036804199219,87.767578125
2022-11-16,378.39483642578125,89.6869125366211
2022-11-17,377.2369689941406,88.74050903320312
2022-11-18,378.9498596191406,88.1302261352539
2022-11-21,377.57183837890625,88.50167083740234
2022-11-22,382.6528625488281,89.75763702392578
2022-11-23,385.0642395019531,91.32318878173828
2022-11-25,384.9780578613281,91.01361846923828
2022-11-28,378.8349304199219,91.2701187133789
2022-11-29,378.1842346191406,90.19989776611328
2022-11-30,390.0973815917969,90.86328125
2022-12-01,389.81024169921875,93.7659912109375
2022-12-02,389.3605651855469,94.94513702392578
2022-12-05,382.356201171875,93.61524200439453
2022-12-06,376.84466552734375,94.82101440429688
2022-12-07,376.2035827636719,97.05524444580078
2022-12-08,379.1507263183594,96.78923034667969
2022-12-09,376.318359375,94.27133178710938
2022-12-12,381.74383544921875,94.57276916503906
2022-12-13,384.633544921875,95.4859619140625
2022-12-14,382.1744384765625,95.8937759399414
2022-12-15,372.8258361816406,96.26793670654297
2022-12-16,368.4241638183594,95.19258880615234
2022-12-19,365.3000793457031,93.59284210205078
2022-12-20,365.7999267578125,91.93092346191406
2022-12-21,371.2695617675781,92.1619873046875
2022-12-22,365.97296142578125,92.14422607421875
2022-12-23,368.07806396484375,90.79331970214844
2022-12-27,366.62664794921875,88.9980697631836
2022-12-28,362.0702209472656,88.4737319946289
2022-12-29,368.58758544921875,89.47798156738281
2022-12-30,367.61669921875,88.48262786865234
2023-01-03,366.069091796875,90.17123413085938
2023-01-04,368.895263671875,91.40657043457031
2023-01-05,364.68487548828125,91.78872680664062
2023-01-06,373.0478515625,93.47731018066406
2023-01-09,372.8363952636719,93.97501373291016
2023-01-10,375.45098876953125,92.41972351074219
2023-01-11,380.1996765136719,93.92168426513672
2023-01-12,381.5838317871094,95.77025604248047
2023-01-13,383.0643005371094,94.87261962890625
2023-01-17,382.3625793457031,94.25942993164062
2023-01-18,376.32574462890625,96.54346466064453
2023-01-19,373.5862121582031,95.93911743164062
2023-01-20,380.5457458496094,94.38382720947266
2023-01-23,385.11175537109375,93.93944549560547
2023-01-24,384.69842529296875,95.29035186767578
2023-01-25,384.84259033203125,95.52139282226562
2023-01-26,389.0721740722656,95.07705688476562
2023-01-27,389.96612548828125,94.83708953857422
2023-01-30,385.0733337402344,94.490478515625
2023-01-31,390.7351379394531,95.24588012695312
2023-02-01,394.8877868652344,96.3908462524414
2023-02-02,400.63616943359375,96.51561737060547
2023-02-03,396.3777770996094,95.07215118408203
2023-02-06,393.9553527832031,94.36823272705078
2023-02-07,399.1077880859375,93.61087799072266
2023-02-08,394.7436828613281,94.05638122558594
2023-02-09,391.321533203125,93.16535186767578
2023-02-10,392.2347717285156,92.12287139892578
2023-02-13,396.83917236328125,92.89806365966797
2023-02-14,396.6565246582031,92.6842041015625
2023-02-15,397.94464111328125,91.8199234008789
2023-02-16,392.4654235839844,90.51901245117188
2023-02-17,391.48492431640625,91.22291564941406
2023-02-21,383.63140869140625,89.44981384277344
2023-02-22,383.1026916503906,90.26952362060547
2023-02-23,385.1405334472656,91.15164947509766
2023-02-24,381.0263366699219,89.96658325195312
2023-02-27,382.3240966796875,90.21610260009766
2023-02-28,380.91107177734375,90.62594604492188
2023-03-01,379.4498291015625,89.65234375
2023-03-02,382.4009704589844,88.85738372802734
2023-03-03,388.5338134765625,91.0100326538086
2023-03-06,388.8029479980469,90.30438995361328
2023-03-07,382.8431091308594,90.85819244384766
2023-03-08,383.46795654296875,90.947509765625
2023-03-09,376.3930969238281,91.17081451416016
2023-03-10,370.9619140625,94.31492614746094
2023-03-13,370.4332275390625,94.529296875
2023-03-14,376.55645751953125,92.97511291503906
2023-03-15,374.2013854980469,94.7704849243164
2023-03-16,380.766845703125,94.02912139892578
2023-03-17,376.31463623046875,95.44038391113281
2023-03-20,379.93310546875,94.60078430175781
2023-03-21,384.9218444824219,93.7879409790039
2023-03-22,378.3602600097656,95.03844451904297
2023-03-23,379.3830871582031,95.03844451904297
2023-03-24,381.8726501464844,95.44038391113281
2023-03-27,382.5867004394531,93.19843292236328
2023-03-28,381.7279052734375,93.36811828613281
2023-03-29,387.2762756347656,93.1805648803711
