Date,VOL_FXI,VOL_SPY,VOL_RATIO
2016-01-21,0.2939567636299027,0.19305782594679524,1.5226358330115775
2016-01-22,0.31708543337809875,0.20475067704649913,1.5486416843744466
2016-01-25,0.32170400058754905,0.207487940928676,1.5504708328959456
2016-01-26,0.3232626217261278,0.21236353734711536,1.5222133976688481
2016-01-27,0.3169513775313275,0.20782161313694933,1.525112680760804
2016-01-28,0.316954055534622,0.20786876125216672,1.5247796428157059
2016-01-29,0.32870739767934204,0.21876399952111497,1.5025662284420587
2016-02-01,0.3263687875061348,0.21334523586757123,1.529768340872257
2016-02-02,0.3312669397969553,0.21498095013541357,1.5409129952597882
2016-02-03,0.3343813733093453,0.21098422957473828,1.5848642999684261
2016-02-04,0.3312572183895253,0.20921032415930016,1.5833693663095438
2016-02-05,0.33054475301113845,0.21256794909805665,1.5550074901398216
2016-02-08,0.3233460531530041,0.20996226450132627,1.5400198408079258
2016-02-09,0.32305852058777396,0.21014517213134185,1.5373111707075557
2016-02-10,0.32463159458063195,0.21024901975461857,1.5440338079079234
2016-02-11,0.3259462580940018,0.2077451353359616,1.5689717959791816
2016-02-12,0.33598661336268215,0.21947618994950652,1.530856779680659
2016-02-16,0.3639946337194825,0.225949460364623,1.6109559771999051
2016-02-17,0.3589766825121389,0.22937304896044436,1.5650342711974188
2016-02-18,0.35936936106054634,0.22933569941141937,1.5670013956957116
2016-02-19,0.35516364061172745,0.2268950702498668,1.5653210985175028
2016-02-22,0.3494902543311641,0.2204181424679759,1.585578439315361
2016-02-23,0.3555777704382515,0.22119834847932032,1.607506443347131
2016-02-24,0.35538253852926976,0.2215586281043278,1.6040112794069423
2016-02-25,0.35544777389618665,0.22309780665206586,1.5932374200815356
2016-02-26,0.35159788577885887,0.21000110268692582,1.6742668551747015
2016-02-29,0.34909273399404256,0.20643797515641307,1.6910296360422226
2016-03-01,0.3367173868885881,0.20626224584779065,1.632472222459294
2016-03-02,0.3349718478243813,0.20639491972462198,1.6229655665522693
2016-03-03,0.31593379479962036,0.20162296310327923,1.566953435942644
2016-03-04,0.3242426411058381,0.2014264250594941,1.6097323924111175
2016-03-07,0.31213091798243997,0.19402834756531817,1.608687193902754
2016-03-08,0.3113551497523841,0.19121029593542455,1.6283388309672133
2016-03-09,0.3110627874037004,0.18821796063334154,1.6526732430688007
2016-03-10,0.3088331441506346,0.18447127127103236,1.6741530647169713
2016-03-11,0.321782222632456,0.18877666123226175,1.7045657049551828
2016-03-14,0.3094504542721663,0.17709825492371667,1.7473376821553606
2016-03-15,0.30246075206919365,0.1772545359748385,1.7063639607627774
2016-03-16,0.2914613226306953,0.167644181207547,1.7385710648069561
2016-03-17,0.29011969961033013,0.16771437966000513,1.7298439179661766
2016-03-18,0.28766305856972113,0.16776427001538535,1.7146860803157913
2016-03-21,0.2858054652711244,0.15505056847676454,1.8433048525968765
2016-03-22,0.27907720795066304,0.14741928840711738,1.8930847582166814
2016-03-23,0.2815015936739696,0.1500064329198191,1.8765968111810032
2016-03-24,0.2833749504143768,0.1499107610339776,1.8902909201438132
2016-03-28,0.27277803057184613,0.1420412429936167,1.9204142742126293
2016-03-29,0.26842358720990156,0.1338910766379223,2.004790714588035
2016-03-30,0.24637386168853015,0.12768276120816502,1.9295781149881266
2016-03-31,0.2443807064106212,0.12203802707400467,2.0024963715811888
2016-04-01,0.24291348110252817,0.12114773131326398,2.005101362355702
2016-04-04,0.24688831031946037,0.122036172765502,2.023074836949102
2016-04-05,0.24563629131578327,0.12192495151150413,2.0146515399073706
2016-04-06,0.23771496483598364,0.11674441543365413,2.0361998811932644
2016-04-07,0.24552427685370645,0.12388665302451485,1.9818460734839758
2016-04-08,0.24689045084824118,0.12016334054228049,2.0546237291178726
2016-04-11,0.24830458782743436,0.12017669500833271,2.0661625601387827
2016-04-12,0.24912355146772358,0.11862460708747008,2.1001001190590047
2016-04-13,0.25288561814058313,0.10311285575866913,2.452512989577655
2016-04-14,0.2475708370942875,0.10291530871615158,2.405578336038491
2016-04-15,0.2516169952117792,0.10299094728839162,2.4430981735434494
2016-04-18,0.23978872964533596,0.10412276132004344,2.302942474876308
2016-04-19,0.2381595533837173,0.10418360852009374,2.285959919863822
2016-04-20,0.22954431543581008,0.09712671457092799,2.3633489143523176
2016-04-21,0.23130218130753785,0.09909066891777421,2.334247854351182
2016-04-22,0.2300099957202602,0.0991851494757821,2.3189963107977314
2016-04-25,0.21151446530147702,0.08969683651351114,2.3581039591024635
2016-04-26,0.21195839148843718,0.08940669082736409,2.3707218053479786
2016-04-27,0.21145163094174105,0.08902049653917181,2.37531399129745
2016-04-28,0.21180529891600108,0.09292128060213387,2.27940572432379
2016-04-29,0.2147859317490313,0.09312629567060889,2.3063940233243785
2016-05-02,0.21398085394181193,0.09513281475138524,2.2492854279673895
2016-05-03,0.2250223390246639,0.09882548140317401,2.276966788622562
2016-05-04,0.2266393677675407,0.10024892697043829,2.260766021309862
2016-05-05,0.22338289744158807,0.09823235620993181,2.2740256475595246
2016-05-06,0.2231335245407446,0.09867893105649828,2.2612073535027477
2016-05-09,0.2254670325077917,0.09868436857897404,2.284728936856473
2016-05-10,0.23420659241194128,0.10154122074656306,2.306517399436215
2016-05-11,0.23352359155065472,0.1047954748159789,2.2283747648524206
2016-05-12,0.23352342520154107,0.10452210432075087,2.234201336828419
2016-05-13,0.23688598065216881,0.10565415896244025,2.242088555514233
2016-05-16,0.24312181643338532,0.1092814727069965,2.22473041780137
2016-05-17,0.23506026590443477,0.10877139030651542,2.1610486474618007
2016-05-18,0.228460214422539,0.10385987220421147,2.1996966641104247
2016-05-19,0.22272706291187577,0.09828127914876572,2.266220635719849
2016-05-20,0.22264020985411545,0.09967612979957127,2.23363618051584
2016-05-23,0.21920526216061548,0.09949991176976035,2.2030699149547943
2016-05-24,0.22309420495933702,0.10290427900006123,2.1679779220765374
2016-05-25,0.19671745002340782,0.10059073726246741,1.955621912881708
2016-05-26,0.19676845926863362,0.10058948687023883,1.9561533256697727
2016-05-27,0.19551709006406967,0.10118304129710032,1.9323108651179943
2016-05-31,0.20869922923844741,0.09940480165159266,2.0994884127421187
2016-06-01,0.2054835278771716,0.09916236083550889,2.072192777035925
2016-06-02,0.20536387088591587,0.09950731278892491,2.0638068211281526
2016-06-03,0.2046377856133982,0.0985905236957019,2.0756334173151316
2016-06-06,0.20798784976970278,0.0995866243519937,2.088511897286123
2016-06-07,0.2081063951192451,0.0994340377680475,2.0929090258277614
2016-06-08,0.20764440161130113,0.09971843049257907,2.0823071581211234
2016-06-09,0.20745979046417634,0.0997667134785975,2.079448978828813
2016-06-10,0.2203781075776844,0.1001060603601541,2.2014462139936835
2016-06-13,0.22409889633734348,0.10149271929496,2.20802928420967
2016-06-14,0.22426260741941492,0.09909098159463817,2.263198969375734
2016-06-15,0.21261421489786653,0.09569957340548425,2.2216840402935616
2016-06-16,0.20926344780432754,0.09435787246751971,2.217763524462266
2016-06-17,0.20975713142636718,0.09515401211828152,2.2043960812249077
2016-06-20,0.21448449775542092,0.09630564321495799,2.2271228413550292
2016-06-21,0.20991319904096073,0.0965349795924737,2.174478100343707
2016-06-22,0.20136869798938392,0.08993518206248763,2.2390425345386133
2016-06-23,0.2037760937223239,0.09276274972416995,2.196744860714588
2016-06-24,0.2746086517288262,0.1413580715667574,1.942645713012152
2016-06-27,0.2701209574112782,0.14843401377705018,1.8198049795850928
2016-06-28,0.27306240727081443,0.15519230368957196,1.7595099807076495
2016-06-29,0.27605389340511377,0.1606605812106866,1.7182428404332923
2016-06-30,0.27603305553383994,0.16509919750039734,1.6719224545787124
2016-07-01,0.2750573700618569,0.16458978824362502,1.6711691107756834
2016-07-05,0.283876406219519,0.16555645308062705,1.7146804062132772
2016-07-06,0.2839001333849598,0.1661342618058848,1.708859631354521
2016-07-07,0.28005499387265254,0.16221211758687734,1.7264739406577383
2016-07-08,0.2818445329611708,0.16658853015090214,1.6918603742158325
2016-07-11,0.28183747448612373,0.16677328038766495,1.6899438197233498
2016-07-12,0.28656112332764416,0.1675228927233229,1.7105788866774296
2016-07-13,0.2794391618920389,0.1673383705696767,1.669904881592506
2016-07-14,0.2814982254313379,0.16783904951636397,1.6771914893613145
2016-07-15,0.28126028892272864,0.1678886765040367,1.6752784927455548
2016-07-18,0.28179931603791986,0.1675238474794689,1.682144484369344
2016-07-19,0.2864013252330753,0.16722210636262688,1.71270014152318
2016-07-20,0.2860982506969949,0.1674702043828818,1.7083531470642837
2016-07-21,0.2861140026124495,0.16791144497640664,1.7039577180260201
2016-07-22,0.2856128734911268,0.16810141667679174,1.6990509606487976
2016-07-25,0.2743501814523569,0.1655521136609929,1.6571831998119564
2016-07-26,0.2666436095226077,0.1633860413458189,1.6319852499408827
2016-07-27,0.2674378048820504,0.16323869513242392,1.6383235890552614
2016-07-28,0.2684956352431423,0.16300528038509124,1.6471591264334244
2016-07-29,0.26821832095368936,0.1629556311364864,1.6459592042513604
2016-08-01,0.26803289342174047,0.16234908721752314,1.6509664329841107
2016-08-02,0.264783253001179,0.1633517701849517,1.6209389876913092
2016-08-03,0.26375041352015594,0.16335902115284598,1.6145445268882903
2016-08-04,0.26304724037183297,0.16313005448705575,1.6125001686473757
2016-08-05,0.25755653032070197,0.16070654011802282,1.6026512059282252
2016-08-08,0.17881655046933648,0.1163163646436831,1.537329257298514
2016-08-09,0.17830695935909727,0.09941171722982706,1.7936211578246315
2016-08-10,0.16993511220125662,0.08973882713787157,1.8936631736915206
2016-08-11,0.17257027897916233,0.07856758555370341,2.196456436365925
2016-08-12,0.16969929838082398,0.07055444104489099,2.4052248996324845
2016-08-15,0.17876492522205903,0.07065754411097705,2.530018945199751
2016-08-16,0.16296426793294516,0.06871729344978533,2.3715175576877185
2016-08-17,0.16497714979052056,0.06740102860001122,2.4476948381540438
2016-08-18,0.16359021517281228,0.06717834929190974,2.435162770403371
2016-08-19,0.1573480624461641,0.05424758776197098,2.9005540879823104
2016-08-22,0.16072100467058142,0.05373959089028981,2.990737406220598
2016-08-23,0.1519637632864826,0.05029441492074366,3.02148386706465
2016-08-24,0.1521730243564161,0.052946569231337594,2.8740865851294695
2016-08-25,0.1461870291438066,0.0507444787934943,2.880846007675391
2016-08-26,0.14663132622632305,0.05091582897819822,2.8798770278121073
2016-08-29,0.1464017232540084,0.052249638607157964,2.8019662366421043
2016-08-30,0.13400236490197834,0.05242034607127299,2.5563044684936433
2016-08-31,0.13574249653618536,0.05184463307354737,2.618255516315827
2016-09-01,0.13668330191144323,0.05056086958801819,2.7033415964790715
2016-09-02,0.14639673024971253,0.050577909788581656,2.8944796426277524
2016-09-06,0.1476782446175404,0.050459161448218125,2.9266884422780155
2016-09-07,0.14552119025459515,0.05047580007875855,2.8829892746134798
2016-09-08,0.14552101499888587,0.050895428482151325,2.8592158340884994
2016-09-09,0.15880576154637244,0.08665839565487306,1.8325490605530534
2016-09-12,0.15852692311668282,0.09667094244178699,1.6398611528189462
2016-09-13,0.1791846573594792,0.10515694010944031,1.7039736718565202
2016-09-14,0.1786604970471469,0.10368197198321154,1.7231587481387418
2016-09-15,0.18498136896475775,0.10757424891389528,1.7195692355037568
2016-09-16,0.18652557448405885,0.10805176580038584,1.7262612332374563
2016-09-19,0.18237224181910916,0.10505551838454213,1.735960610384684
2016-09-20,0.18201991183631153,0.10506945236589947,1.7323770871331439
2016-09-21,0.1926113401747703,0.11045289384861562,1.7438324471494544
2016-09-22,0.19117963843839966,0.11178311568448854,1.710272944780054
2016-09-23,0.19040734693678052,0.11207558916399243,1.698918991700955
