Date,FXI_MCHI,FXI_KWEB,MCHI_KWEB,SYNC_INDEX
2016-08-25,0.974752415259897,0.6845682535461427,0.7848813735284174,0.8147340141114857
2016-08-26,0.9742787259312761,0.6787888192978011,0.781679168199711,0.811582237809596
2016-08-29,0.974223098463789,0.6773082976053294,0.780485726289897,0.8106723741196719
2016-08-30,0.9740846395040026,0.6779381640588146,0.7815767206599912,0.8111998414076028
2016-08-31,0.97435049536037,0.6740504708824647,0.7791521000235733,0.809184355422136
2016-09-01,0.974797821529276,0.6787668187905036,0.7816001265955971,0.8117215889717923
2016-09-02,0.9755045247079912,0.682466372113559,0.7828876613796978,0.813619519400416
2016-09-06,0.9717988040480242,0.6887867704534932,0.7947231465123956,0.818436240337971
2016-09-07,0.9708367360766785,0.6886534733385448,0.7969445148366315,0.8188115747506183
2016-09-08,0.9709845181901087,0.6889638825544331,0.7966424419290256,0.8188636142245224
2016-09-09,0.9694710739217375,0.6915376497795803,0.8023185916974849,0.8211091051329342
2016-09-12,0.9680952453759027,0.691808932864971,0.8065852081022745,0.8221631287810495
2016-09-13,0.9684380971445736,0.6934058177389547,0.8076882382585596,0.823177384380696
2016-09-14,0.9682065820198453,0.6906033412548391,0.8062596802251877,0.8216898678332907
2016-09-15,0.9681605081906262,0.6965969464784817,0.8130797863012331,0.8259457469901137
2016-09-16,0.9679199480869332,0.6875663649714921,0.8093594176194396,0.8216152435592883
2016-09-19,0.9668780708721001,0.6801381838488122,0.8066788804651783,0.8178983783953635
2016-09-20,0.967064923120261,0.6842267110090152,0.8095015757998216,0.8202644033096993
2016-09-21,0.9669645739119244,0.694835443376993,0.81932449256367,0.8270415032841957
2016-09-22,0.9662059130237718,0.685366317338471,0.8131883777619136,0.8215868693747188
2016-09-23,0.9669238808144947,0.6899303534031547,0.8151851744094678,0.824013136209039
2016-09-26,0.9678113851857743,0.6968447498477165,0.8192817694369117,0.8279793014901342
2016-09-27,0.9683861036858377,0.7014157300248659,0.8211229896826628,0.8303082744644555
2016-09-28,0.968177984044427,0.6970476554279246,0.8178720111403736,0.8276992168709083
2016-09-29,0.9681049726278586,0.7000832434062741,0.8208998155584586,0.8296960105308638
2016-09-30,0.9675307359396155,0.6946467375321472,0.8197293701038797,0.8273022811918809
2016-10-03,0.9690731552796397,0.7101982608619652,0.8276144697800631,0.835628628640556
2016-10-04,0.9691095044284546,0.697533539729967,0.817453358984569,0.8280321343809968
2016-10-05,0.9702058225833271,0.6971194165346113,0.8145671469077017,0.8272974620085467
2016-10-06,0.9699182912605391,0.6991394322165425,0.8162817378590336,0.8284464871120384
2016-10-07,0.9708296716516921,0.7020892556700881,0.8161028306876107,0.8296739193364636
2016-10-10,0.9709048225071674,0.7063284807925538,0.8199332375712276,0.832388846956983
2016-10-11,0.9726825084785994,0.7270471273330437,0.8329039436824289,0.8442111931646906
2016-10-12,0.9724598352435561,0.7247912836983889,0.8311722887103044,0.8428078025507496
2016-10-13,0.9736801832001444,0.7395776120658336,0.8397582290562805,0.8510053414407528
2016-10-14,0.9738653229879514,0.7430569333199033,0.8412068397097229,0.8527096986725259
