Date,EXPOSURE_RATIO
2016-03-21,81.27896695007803
2016-03-22,80.6713491722475
2016-03-23,80.06585717952818
2016-03-24,79.54255312405942
2016-03-28,80.15118210897496
2016-03-29,80.21047272942286
2016-03-30,81.05778064220856
2016-03-31,81.08684874687417
2016-04-01,80.08512233370823
2016-04-04,79.36427305431441
2016-04-05,78.35236514918478
2016-04-06,78.96423765905841
2016-04-07,78.39618414600272
2016-04-08,79.19884776770148
2016-04-11,80.32852158302668
2016-04-12,80.68972923361251
2016-04-13,83.01454340473614
2016-04-14,82.84447671835565
2016-04-15,81.89116862440765
2016-04-18,81.83864576975338
2016-04-19,82.5687375158381
2016-04-20,81.55064201112442
2016-04-21,81.42484963960234
2016-04-22,81.11783648985487
2016-04-25,80.28793089984042
2016-04-26,80.64123438521395
2016-04-27,81.06488440901694
2016-04-28,81.04615538425743
2016-04-29,80.1945519923747
2016-05-02,79.41975320838618
2016-05-03,78.17813356754458
2016-05-04,77.629779589817
2016-05-05,77.76527323240724
2016-05-06,77.02600999714478
2016-05-09,75.78797035643714
2016-05-10,76.58539664243591
2016-05-11,76.01813170114967
2016-05-12,75.85270735578963
2016-05-13,75.29040157235217
2016-05-16,76.0106718261318
2016-05-17,76.26908617388699
2016-05-18,75.64468362119314
2016-05-19,75.49687722737113
2016-05-20,75.98348385837086
2016-05-23,75.9188516837968
2016-05-24,76.3955064267118
2016-05-25,77.27206098822013
2016-05-26,76.9670123360394
2016-05-27,77.08348971960318
2016-05-31,79.13532299024128
2016-06-01,78.48064322394323
2016-06-02,78.92103355496874
2016-06-03,79.25133760743797
2016-06-06,79.85414004823262
2016-06-07,80.75541867175824
2016-06-08,80.72540800467627
2016-06-09,80.37040083395698
2016-06-10,78.95471426139464
2016-06-13,77.88746165786588
2016-06-14,78.25445397857268
2016-06-15,78.48243914820388
2016-06-16,78.03578901502497
2016-06-17,77.9946988396548
2016-06-20,78.86553433205815
2016-06-21,79.43475588613855
2016-06-22,80.22995079998353
2016-06-23,81.12225732385834
2016-06-24,79.05817821430416
2016-06-27,80.22739366972608
2016-06-28,80.70436006191017
2016-06-29,80.78900859612676
2016-06-30,80.78739552136923
2016-07-01,81.23061550346951
2016-07-05,79.9682349565258
2016-07-06,79.30277120035129
2016-07-07,78.97433264381044
2016-07-08,79.49007220961857
2016-07-11,79.81322852141972
2016-07-12,80.8482256107381
2016-07-13,80.51434255842456
2016-07-14,81.37164264131621
2016-07-15,81.25184818044465
2016-07-18,81.69680238276985
2016-07-19,80.24726612692089
2016-07-20,80.87138397570659
2016-07-21,81.10936318342227
2016-07-22,81.1797363481928
2016-07-25,80.73887324793273
2016-07-26,81.65989938163415
2016-07-27,81.4268589345354
2016-07-28,80.89952039694589
2016-07-29,80.70074137198795
2016-08-01,80.49413822140734
2016-08-02,80.76084116191281
2016-08-03,80.79999341362975
2016-08-04,80.89696130454782
2016-08-05,81.46468252093706
2016-08-08,81.96685881383632
2016-08-09,82.68870658826859
2016-08-10,82.41667666781117
2016-08-11,83.77757977927111
2016-08-12,84.0315112946192
2016-08-15,85.68599701099897
2016-08-16,85.74451744491374
2016-08-17,84.99469894692731
2016-08-18,85.55007226540975
2016-08-19,85.2001320595533
2016-08-22,84.434564422711
2016-08-23,84.24234952283487
2016-08-24,84.26680120880104
2016-08-25,84.25678518422784
2016-08-26,84.0515901810162
2016-08-29,84.27385673758957
2016-08-30,84.95746421292083
2016-08-31,84.2897851224807
2016-09-01,84.92286270876862
2016-09-02,86.24030762630196
2016-09-06,87.2899926014782
2016-09-07,87.27538848834271
2016-09-08,88.31251950906119
2016-09-09,88.6462544175257
2016-09-12,87.506696461854
2016-09-13,86.41735120654492
2016-09-14,86.4497444938748
2016-09-15,87.1795241175683
2016-09-16,87.0104403432227
2016-09-19,87.17860352837815
2016-09-20,87.35893756016054
2016-09-21,88.50786117052765
2016-09-22,88.2707999555098
2016-09-23,87.27633981009909
2016-09-26,86.17476748608274
2016-09-27,86.73878148421997
2016-09-28,87.0371940500304
2016-09-29,86.91498461572897
2016-09-30,86.46877013687875
2016-10-03,86.76838573175868
2016-10-04,86.50244741510777
2016-10-05,88.22073026115153
2016-10-06,88.47866182247672
2016-10-07,88.07378852276128
2016-10-10,88.86944381925642
2016-10-11,87.3318131411484
2016-10-12,87.10225770081618
2016-10-13,86.00249790259976
2016-10-14,86.78926308296
2016-10-17,86.30396228942831
2016-10-18,87.17130560428647
2016-10-19,87.03130588187493
2016-10-20,87.07906980364933
2016-10-21,86.9923754330887
2016-10-24,87.26512599021147
2016-10-25,87.23684523092572
2016-10-26,86.53750339875036
2016-10-27,86.00718422425287
2016-10-28,85.31289813195897
2016-10-31,85.33204453493384
2016-11-01,86.51448212401466
2016-11-02,85.91222616164387
2016-11-03,86.16586081810867
2016-11-04,85.50586470390489
2016-11-07,86.24611822398741
2016-11-08,86.47988785417134
2016-11-09,83.54877073768904
2016-11-10,82.54684468636725
2016-11-11,81.80532551208535
2016-11-14,81.24131777771541
2016-11-15,81.73945283538781
2016-11-16,80.92215059795667
2016-11-17,80.82283507624656
2016-11-18,80.93652780294036
2016-11-21,81.00043435213836
2016-11-22,82.27026262049341
2016-11-23,81.91338550751611
2016-11-25,82.38761528455598
2016-11-28,83.08866798938568
2016-11-29,83.43925274950907
2016-11-30,83.93014448799343
2016-12-01,84.2397670701214
2016-12-02,83.5704342011198
2016-12-05,82.95996750619557
2016-12-06,82.69801620383532
2016-12-07,82.57230057378753
2016-12-08,82.3705950324635
2016-12-09,81.39813340804193
2016-12-12,79.62127037458761
2016-12-13,79.9575779603163
2016-12-14,78.85856212901406
2016-12-15,77.84096526075518
2016-12-16,77.16751304628998
2016-12-19,76.69616044608493
2016-12-20,76.12056904887773
2016-12-21,76.07295359975778
2016-12-22,75.40536918194185
2016-12-23,75.09619204482367
2016-12-27,75.08673553935341
2016-12-28,76.40176378239221
2016-12-29,77.41962874246732
2016-12-30,77.48041019983386
2017-01-03,77.86688976037804
2017-01-04,78.1991669722666
2017-01-05,79.38537292201059
2017-01-06,78.50941802381335
2017-01-09,78.87956729679809
2017-01-10,79.91514567457392
2017-01-11,80.26116491092911
2017-01-12,80.3750658153541
2017-01-13,80.36676810790088
2017-01-17,80.27603399350114
2017-01-18,80.49510006024612
2017-01-19,80.46311328391569
2017-01-20,79.86047726922811
2017-01-23,80.46596788005375
2017-01-24,80.28217135585759
2017-01-25,79.94100075049012
2017-01-26,80.17698432568329
2017-01-27,80.23764879362635
2017-01-30,80.4313806123875
2017-01-31,80.46037862326756
2017-02-01,80.38470453112109
2017-02-02,80.3536877330584
2017-02-03,79.69485629961002
2017-02-06,80.18627704746898
2017-02-07,80.13921770093249
2017-02-08,81.20969632529797
2017-02-09,81.81267238574334
2017-02-10,81.92211482351416
2017-02-13,81.99312693943115
2017-02-14,81.64550883679829
2017-02-15,82.45339892566861
2017-02-16,82.35361844982755
2017-02-17,81.62969944579649
2017-02-21,81.90600565488371
2017-02-22,82.42229094849486
2017-02-23,82.21877163307501
2017-02-24,81.2293781724047
2017-02-27,80.59756712901779
2017-02-28,80.60470332392303
2017-03-01,80.32437388443955
2017-03-02,79.09529483328132
2017-03-03,79.2548405555511
2017-03-06,79.42857265494514
2017-03-07,79.91917184381609
2017-03-08,79.96234199415827
2017-03-09,78.93416922323759
2017-03-10,79.03638251253933
2017-03-13,80.27640130100527
2017-03-14,80.33201234777219
2017-03-15,81.00013861389688
2017-03-16,82.31053333124892
2017-03-17,82.03616910850509
2017-03-20,83.09145651714603
2017-03-21,83.2581793434345
2017-03-22,83.31719882904302
2017-03-23,83.30004360748478
2017-03-24,83.38182715524411
2017-03-27,83.0634538872237
2017-03-28,82.82229757159969
2017-03-29,82.44965822280156
2017-03-30,81.57821324419189
2017-03-31,81.11523070386224
2017-04-03,81.74212890699256
2017-04-04,81.90103094898132
2017-04-05,82.31447689375563
2017-04-06,81.70392733147071
