Date,STRESS_INDEX,Z_VOL_RATIO,Z_VOL_FXI_30D
2024-04-18,-0.4301520558165822,-0.25312351032359165,-0.6071806013095729
2024-04-19,-0.4249361087204213,-0.22740788354375843,-0.6224643338970842
2024-04-22,-0.4036604035527477,-0.23150304315809203,-0.5758177639474034
2024-04-23,-0.53361946622637,-0.42458916834873994,-0.6426497641040002
2024-04-24,-0.5135988418831587,-0.36287779412744253,-0.664319889638875
2024-04-25,-0.5105254739506876,-0.36247338325587236,-0.6585775646455028
2024-04-26,-0.605436810440544,-0.49729111579149904,-0.7135825050895889
2024-04-29,-0.6031570537234376,-0.48528427092986376,-0.7210298365170115
2024-04-30,-0.5102570576475128,-0.443513827756198,-0.5770002875388277
2024-05-01,-0.5050715491939453,-0.42801439327244994,-0.5821287051154406
2024-05-02,0.043201438000101386,0.15864337238061124,-0.07224049638040847
2024-05-03,-0.027185119695322967,0.029224170313133273,-0.08359440970377921
2024-05-06,-0.11881230794605388,-0.10198275161936037,-0.13564186427274738
2024-05-07,-0.059933085840029335,-0.03962543312469922,-0.08024073855535946
2024-05-08,-0.04897961240250663,-0.027372649327531917,-0.07058657547748134
2024-05-09,0.006099718881879516,0.04171584311381231,-0.029516405350053277
2024-05-10,0.011538352806860792,0.046720523548239294,-0.02364381793451771
2024-05-13,0.042436274495053786,0.07972159288935075,0.00515095610075682
2024-05-14,0.09475389161816511,0.14159100079206335,0.04791678244426685
2024-05-15,0.03655109362796723,0.036238169162250415,0.03686401809368403
2024-05-16,0.15932516244762707,0.21639119506387286,0.10225912983138129
2024-05-17,0.17243959290619412,0.2628649253083178,0.08201426050407046
2024-05-20,0.21828613391941454,0.3113245027399061,0.12524776509892296
2024-05-21,0.2826159669189744,0.37836580907078415,0.1868661247671646
2024-05-22,0.35961632833985,0.5023825250694223,0.21685013161027772
2024-05-23,0.4370427866368142,0.5770482811658655,0.2970372921077629
2024-05-24,0.29167947303878006,0.49918456102683945,0.08417438505072068
2024-05-28,0.40412401765493955,0.7197091116726456,0.08853892363723347
2024-05-29,0.40043715813010133,0.683262902156734,0.11761141410346869
2024-05-30,0.3910847364831535,0.6671690738514017,0.11500039911490537
2024-05-31,0.4236622371313995,0.6825416905820577,0.1647827836807413
2024-06-03,0.4842559438236198,0.8096412506131072,0.15887063703413234
2024-06-04,0.4898977374174677,0.8444460904165646,0.13534938441837088
2024-06-05,0.468952607981075,0.8203285459658837,0.1175766699962664
2024-06-06,0.4280150744844919,0.7746847220185646,0.08134542695041914
2024-06-07,0.5669610567626564,0.9468792441983608,0.1870428693269521
2024-06-10,0.5777050737439257,0.9934420120854885,0.1619681354023628
2024-06-11,0.5797769449219408,0.9975672255667757,0.16198666427710576
2024-06-12,0.7265396197826456,1.3791802274868985,0.0738990120783926
2024-06-13,0.7580028542136912,1.4471280225922636,0.0688776858351188
2024-06-14,0.10132660389889914,0.6670175531621672,-0.4643643453643689
2024-06-17,0.2055810388239115,0.851725882530756,-0.440563804882933
2024-06-18,0.28812795788156204,1.0150788385668021,-0.4388229228036781
2024-06-20,0.25039252656367583,0.9477094073011051,-0.4469243541737535
2024-06-21,0.3129341024000033,1.0214110398675917,-0.39554283506758514
2024-06-24,0.21376878683199627,0.8879687354919684,-0.4604311618279759
2024-06-25,0.16483436706644097,0.8212892778959582,-0.49162054376307623
2024-06-26,0.024700498843906626,0.6443713100286907,-0.5949703123408775
2024-06-27,0.13414460090913366,0.7912800698882683,-0.522990868070001
2024-06-28,0.2131590284235702,0.9797529226999866,-0.5534348658528462
2024-07-01,-0.08416660047627028,0.597781261954984,-0.7661144629075246
2024-07-02,-0.05805664036935698,0.6060490135173486,-0.7221622942560626
2024-07-03,0.04030064592498084,0.7259483425654414,-0.6453470507154797
2024-07-05,0.032232780339157885,0.7005640655096561,-0.6360985048313403
2024-07-08,0.03464197004277764,0.7209105670062966,-0.6516266269207414
2024-07-09,0.08597041381819831,0.8655119755776667,-0.6935711479412701
2024-07-10,0.031193482359161195,0.7537295237288971,-0.6913425590105747
2024-07-11,0.043090997495693006,0.6749210768003457,-0.5887390818089597
2024-07-12,0.07624131237533144,0.7697501095159843,-0.6172674847653215
2024-07-15,0.33622543317263426,1.1901620589811635,-0.5177111926358949
2024-07-16,0.28159491186823826,1.1526226631433731,-0.5894328394068966
2024-07-17,-0.003783723828241603,0.5509643624081996,-0.5585318100646828
2024-07-18,-0.08319343410264893,0.3927808179650302,-0.5591676861703281
2024-07-19,-0.05768739986117899,0.4558376793972335,-0.5712124791195915
2024-07-22,-0.0029585953576676816,0.4697413419850819,-0.47565853270041725
2024-07-23,-0.11230102766183458,0.3353759637865118,-0.559978019110181
2024-07-24,-0.40860294342992143,-0.25767117071537354,-0.5595347161444694
2024-07-25,-0.40093935447416335,-0.2583060381322293,-0.5435726708160974
2024-07-26,-0.4131397365477118,-0.2903295453909642,-0.5359499277044594
2024-07-29,-0.41067833518111263,-0.28671597049272196,-0.5346406998695034
2024-07-30,-0.4181554796285003,-0.3036685740043014,-0.5326423852526992
2024-07-31,-0.4740320452862532,-0.4221564012437217,-0.5259076893287847
2024-08-01,-0.49718628120488884,-0.49783356298026693,-0.4965389994295108
2024-08-02,-0.6064097074387291,-0.6806761747448714,-0.5321432401325868
2024-08-05,-0.7693554229126771,-0.9652077899056636,-0.5735030559196906
2024-08-06,-0.8048293533206442,-1.0122746016749111,-0.5973841049663773
2024-08-07,-0.8024471129291184,-1.0101193159467245,-0.5947749099115123
2024-08-08,-0.7488519248861369,-1.032236002772215,-0.4654678470000587
2024-08-09,-0.8411983832286986,-1.1148588849319834,-0.5675378815254137
2024-08-12,-0.8314730918535392,-1.10545600191117,-0.5574901817959084
2024-08-13,-0.8517861239293945,-1.1508096685936273,-0.5527625792651615
2024-08-14,-0.8290655103752276,-1.127843257816424,-0.5302877629340312
2024-08-15,-0.8326378242563635,-1.1570013983549674,-0.5082742501577596
2024-08-16,-0.8038945689747914,-1.1303359210327455,-0.4774532169168374
2024-08-19,-0.8090634240255625,-1.142721672793487,-0.4754051752576381
2024-08-20,-0.7445890174419374,-1.0891898565250924,-0.39998817835878253
2024-08-21,-0.7224570329587114,-1.062501642309944,-0.3824124236074788
2024-08-22,-0.7890877963689724,-1.1172275189236598,-0.4609480738142851
2024-08-23,-0.7708169789396597,-1.1087233155434468,-0.4329106423358725
2024-08-26,-0.8399083432990351,-1.1664353441471744,-0.5133813424508956
2024-08-27,-0.8163831335719709,-1.1436568394379805,-0.4891094277059614
2024-08-28,-0.7918894282732453,-1.1074922841126282,-0.47628657243386235
2024-08-29,-0.792749348651203,-1.1019672721564315,-0.48353142514597425
2024-08-30,-0.8025865059864807,-1.1128085607354288,-0.4923644512375326
2024-09-03,-0.8493173883031221,-1.1839560537883242,-0.5146787228179199
2024-09-04,-0.8817821034122018,-1.2110509394081652,-0.5525132674162384
2024-09-05,-0.8580268354112914,-1.1432461958108093,-0.5728074750117736
2024-09-06,-0.8733393134138023,-1.1816031776200508,-0.5650754492075539
2024-09-09,-0.8775511736072019,-1.1851524421614958,-0.5699499050529081
2024-09-10,-0.8783241949934915,-1.1873310355940936,-0.5693173543928893
2024-09-11,-0.8808895494853641,-1.1950936939276615,-0.5666854050430666
2024-09-12,-0.898195575638393,-1.1931016263055279,-0.6032895249712583
2024-09-13,-0.9134869926575139,-1.1864848368290948,-0.640489148485933
2024-09-16,-0.8774172283901475,-1.112501951141802,-0.642332505638493
2024-09-17,-0.7380276518571458,-0.8460425830603335,-0.630012720653958
2024-09-18,-0.7530451054436138,-0.858731299074342,-0.6473589118128855
